image_name,target_angle,predicted_perm1,predicted_perm
tile_r2_c2.tiff,80,0.407301337,23.84824544
tile_r2_c2.tiff,90,0.424815267,24.44371909
tile_r2_c2.tiff,100,0.421848923,24.34286338
tile_r2_c2.tiff,110,0.414369881,24.08857596
tile_r2_c2.tiff,120,0.41116485,23.9796049
tile_r2_c2.tiff,130,0.390381426,23.27296847
tile_r2_c2.tiff,140,0.361492306,22.2907384
tile_r2_c2.tiff,150,0.346108407,21.76768583
tile_r2_c2.tiff,160,0.380998582,22.95395178
tile_r2_c2.tiff,170,0.422033936,24.34915382
tile_r2_c2.tiff,180,0.446448743,25.17925727
tile_r2_c3.tiff,0,0.774786353,36.34273601
tile_r2_c3.tiff,10,0.68355155,33.2407527
tile_r2_c3.tiff,20,0.60609597,30.60726297
tile_r2_c3.tiff,30,0.568789124,29.33883023
tile_r2_c3.tiff,40,0.585788012,29.91679239
tile_r2_c3.tiff,50,0.633292556,31.5319469
tile_r2_c3.tiff,60,0.634405375,31.56978273
tile_r2_c3.tiff,70,0.61385411,30.87103975
tile_r2_c3.tiff,80,0.621119857,31.11807513
tile_r2_c3.tiff,90,0.658458292,32.38758194
tile_r2_c3.tiff,100,0.655874312,32.29972661
tile_r2_c3.tiff,110,0.628781021,31.3785547
tile_r2_c3.tiff,120,0.608527601,30.68993843
tile_r2_c3.tiff,130,0.554683387,28.85923517
tile_r2_c3.tiff,140,0.502150536,27.07311821
tile_r2_c3.tiff,150,0.511461794,27.38970101
tile_r2_c3.tiff,160,0.656318188,32.31481838
tile_r2_c3.tiff,170,0.80350405,37.31913769
tile_r2_c3.tiff,180,0.835041344,38.3914057
tile_r2_c4.tiff,0,0.58782649,29.98610067
tile_r2_c4.tiff,10,0.55628413,28.91366041
tile_r2_c4.tiff,20,0.51987654,27.67580235
tile_r2_c4.tiff,30,0.50819689,27.27869427
tile_r2_c4.tiff,40,0.530830503,28.04823709
tile_r2_c4.tiff,50,0.56787771,29.30784214
tile_r2_c4.tiff,60,0.56360513,29.16257441
tile_r2_c4.tiff,70,0.53928113,28.33555841
tile_r2_c4.tiff,80,0.540083826,28.36285007
tile_r2_c4.tiff,90,0.568561077,29.33107662
tile_r2_c4.tiff,100,0.565875769,29.23977613
tile_r2_c4.tiff,110,0.54715997,28.60343897
tile_r2_c4.tiff,120,0.532072783,28.09047461
tile_r2_c4.tiff,130,0.489582211,26.64579517
tile_r2_c4.tiff,140,0.442484319,25.04446685
tile_r2_c4.tiff,150,0.433301181,24.73224014
tile_r2_c4.tiff,160,0.521005094,27.7141732
tile_r2_c4.tiff,170,0.615660489,30.93245661
tile_r2_c4.tiff,180,0.647522449,32.01576328
tile_r2_c5.tiff,0,0.561771333,29.10022533
tile_r2_c5.tiff,10,0.488780767,26.61854607
tile_r2_c5.tiff,20,0.430670142,24.64278483
tile_r2_c5.tiff,30,0.406071335,23.80642539
tile_r2_c5.tiff,40,0.426883996,24.51405585
tile_r2_c5.tiff,50,0.467975765,25.91117603
tile_r2_c5.tiff,60,0.48009035,26.3230719
tile_r2_c5.tiff,70,0.483803838,26.44933051
tile_r2_c5.tiff,80,0.499759734,26.99183095
tile_r2_c5.tiff,90,0.527135968,27.92262292
tile_r2_c5.tiff,100,0.52267617,27.77098978
tile_r2_c5.tiff,110,0.503545344,27.12054169
tile_r2_c5.tiff,120,0.49157396,26.71351463
tile_r2_c5.tiff,130,0.456233442,25.51193702
tile_r2_c5.tiff,140,0.420115709,24.28393412
tile_r2_c5.tiff,150,0.421415538,24.32812828
tile_r2_c5.tiff,160,0.505405724,27.18379462
tile_r2_c5.tiff,170,0.590422988,30.07438159
tile_r2_c5.tiff,180,0.601897895,30.46452844
tile_r2_c6.tiff,0,0.647906303,32.02881432
tile_r2_c6.tiff,10,0.594212472,30.20322406
tile_r2_c6.tiff,20,0.550368071,28.7125144
tile_r2_c6.tiff,30,0.53215909,28.09340906
tile_r2_c6.tiff,40,0.549619734,28.68707097
tile_r2_c6.tiff,50,0.584537566,29.87427723
tile_r2_c6.tiff,60,0.576071203,29.58642089
tile_r2_c6.tiff,70,0.547600985,28.61843348
tile_r2_c6.tiff,80,0.546382189,28.57699442
tile_r2_c6.tiff,90,0.575305223,29.5603776
tile_r2_c6.tiff,100,0.571142614,29.41884887
tile_r2_c6.tiff,110,0.548702657,28.65589035
tile_r2_c6.tiff,120,0.530598223,28.04033959
tile_r2_c6.tiff,130,0.484593302,26.47617227
tile_r2_c6.tiff,140,0.4379296,24.88960642
tile_r2_c6.tiff,150,0.437144786,24.86292273
tile_r2_c6.tiff,160,0.544980705,28.52934396
tile_r2_c6.tiff,170,0.659137368,32.41067052
tile_r2_c6.tiff,180,0.696430683,33.67864323
tile_r2_c7.tiff,0,0.541205108,28.40097368
tile_r2_c7.tiff,10,0.533897936,28.15252984
tile_r2_c7.tiff,20,0.535197735,28.19672298
tile_r2_c7.tiff,30,0.539729595,28.35080624
tile_r2_c7.tiff,40,0.550899386,28.73057914
