angle,Porosity,Surface_Area,Permeability_X,augmented,aug_perm,image_name
40,55.54046631,5594,2.2045727,0.9887056,0.03887723,8
50,54.8614502,5551,1.4262618,0.8851737,0.034243952,8
60,54.4128418,5537,1.2068093,0.97725326,0.038364713,8
70,54.4921875,5555,1.0806869,1.5816002,0.065410553,8
80,54.52423096,5768,0.96673024,1.7614981,0.073461376,8
90,54.09088135,5765,0.8915683,1.8427029,0.077095467,8
100,55.6427002,5716,0.7856342,2.1284206,0.089881956,8
110,56.55517578,5625,0.9887056,3.0258062,0.130041915,8
120,56.72302246,5683,0.8851737,2.8312356,0.121334457,8
130,55.56182861,5600,0.97725326,2.615322,0.111671853,8
140,54.80499268,5551,1.5816002,2.6615942,0.113742635,8
150,54.45404053,5530,1.7614981,2.6067715,0.1112892,8
160,54.4708252,5569,1.8427029,2.2045727,0.093289928,8
170,54.51507568,5748,2.1284206,1.4262618,0.058458822,8
180,54.11987305,5768,3.0258062,1.2068093,0.048637845,8
0,54.09698486,5776,2.8312356,0.96673024,0.037893785,9
10,55.64727783,5726,2.615322,0.8915683,0.034530124,9
20,56.51855469,5624,2.6615942,0.7856342,0.029789343,9
30,56.63757324,5675,2.6067715,0.9887056,0.03887723,9
40,55.54046631,5594,2.2045727,0.8851737,0.034243952,9
50,54.8614502,5551,1.4262618,0.97725326,0.038364713,9
60,54.4128418,5537,1.2068093,1.5816002,0.065410553,9
70,54.4921875,5555,1.0806869,1.7614981,0.073461376,9
80,54.52423096,5768,0.96673024,1.8427029,0.077095467,9
90,54.09088135,5765,0.8915683,2.1284206,0.089881956,9
100,55.6427002,5716,0.7856342,3.0258062,0.130041915,9
110,56.55517578,5625,0.9887056,2.8312356,0.121334457,9
120,56.72302246,5683,0.8851737,2.615322,0.111671853,9
130,55.56182861,5600,0.97725326,2.6615942,0.113742635,9
140,54.80499268,5551,1.5816002,2.6067715,0.1112892,9
150,54.45404053,5530,1.7614981,2.2045727,0.093289928,9
160,54.4708252,5569,1.8427029,1.4262618,0.058458822,9
170,54.51507568,5748,2.1284206,1.2068093,0.048637845,9
180,54.11987305,5768,3.0258062,1.0806869,0.042993593,9
0,54.09698486,5776,2.8312356,0.8915683,0.034530124,10
10,55.64727783,5726,2.615322,0.7856342,0.029789343,10
20,56.51855469,5624,2.6615942,0.9887056,0.03887723,10
30,56.63757324,5675,2.6067715,0.8851737,0.034243952,10
40,55.54046631,5594,2.2045727,0.97725326,0.038364713,10
50,54.8614502,5551,1.4262618,1.5816002,0.065410553,10
60,54.4128418,5537,1.2068093,1.7614981,0.073461376,10
70,54.4921875,5555,1.0806869,1.8427029,0.077095467,10
80,54.52423096,5768,0.96673024,2.1284206,0.089881956,10
90,54.09088135,5765,0.8915683,3.0258062,0.130041915,10
100,55.6427002,5716,0.7856342,2.8312356,0.121334457,10
110,56.55517578,5625,0.9887056,2.615322,0.111671853,10
120,56.72302246,5683,0.8851737,2.6615942,0.113742635,10
130,55.56182861,5600,0.97725326,2.6067715,0.1112892,10
140,54.80499268,5551,1.5816002,2.2045727,0.093289928,10
150,54.45404053,5530,1.7614981,1.4262618,0.058458822,10
160,54.4708252,5569,1.8427029,1.2068093,0.048637845,10
170,54.51507568,5748,2.1284206,1.0806869,0.042993593,10
180,54.11987305,5768,3.0258062,0.96673024,0.037893785,10
0,54.09698486,5776,2.8312356,0.7856342,0.029789343,11
10,55.64727783,5726,2.615322,0.9887056,0.03887723,11
20,56.51855469,5624,2.6615942,0.8851737,0.034243952,11
30,56.63757324,5675,2.6067715,0.97725326,0.038364713,11
40,55.54046631,5594,2.2045727,1.5816002,0.065410553,11
50,54.8614502,5551,1.4262618,1.7614981,0.073461376,11
60,54.4128418,5537,1.2068093,1.8427029,0.077095467,11
70,54.4921875,5555,1.0806869,2.1284206,0.089881956,11
80,54.52423096,5768,0.96673024,3.0258062,0.130041915,11
90,54.09088135,5765,0.8915683,2.8312356,0.121334457,11
100,55.6427002,5716,0.7856342,2.615322,0.111671853,11
110,56.55517578,5625,0.9887056,2.6615942,0.113742635,11
120,56.72302246,5683,0.8851737,2.6067715,0.1112892,11
130,55.56182861,5600,0.97725326,2.2045727,0.093289928,11
140,54.80499268,5551,1.5816002,1.4262618,0.058458822,11
150,54.45404053,5530,1.7614981,1.2068093,0.048637845,11
160,54.4708252,5569,1.8427029,1.0806869,0.042993593,11
170,54.51507568,5748,2.1284206,0.96673024,0.037893785,11
180,54.11987305,5768,3.0258062,0.8915683,0.034530124,11
0,54.09698486,5776,2.8312356,0.9887056,0.03887723,12
10,55.64727783,5726,2.615322,0.8851737,0.034243952,12
20,56.51855469,5624,2.6615942,0.97725326,0.038364713,12
30,56.63757324,5675,2.6067715,1.5816002,0.065410553,12
40,55.54046631,5594,2.2045727,1.7614981,0.073461376,12
50,54.8614502,5551,1.4262618,1.8427029,0.077095467,12
60,54.4128418,5537,1.2068093,2.1284206,0.089881956,12
70,54.4921875,5555,1.0806869,3.0258062,0.130041915,12
80,54.52423096,5768,0.96673024,2.8312356,0.121334457,12
90,54.09088135,5765,0.8915683,2.615322,0.111671853,12
100,55.6427002,5716,0.7856342,2.6615942,0.113742635,12
110,56.55517578,5625,0.9887056,2.6067715,0.1112892,12
120,56.72302246,5683,0.8851737,2.2045727,0.093289928,12
130,55.56182861,5600,0.97725326,1.4262618,0.058458822,12
140,54.80499268,5551,1.5816002,1.2068093,0.048637845,12
150,54.45404053,5530,1.7614981,1.0806869,0.042993593,12
160,54.4708252,5569,1.8427029,0.96673024,0.037893785,12
170,54.51507568,5748,2.1284206,0.8915683,0.034530124,12
180,54.11987305,5768,3.0258062,0.7856342,0.029789343,12
0,54.09698486,5776,2.8312356,0.8851737,0.034243952,13
10,55.64727783,5726,2.615322,0.97725326,0.038364713,13
20,56.51855469,5624,2.6615942,1.5816002,0.065410553,13
30,56.63757324,5675,2.6067715,1.7614981,0.073461376,13
40,55.54046631,5594,2.2045727,1.8427029,0.077095467,13
50,54.8614502,5551,1.4262618,2.1284206,0.089881956,13
60,54.4128418,5537,1.2068093,3.0258062,0.130041915,13
70,54.4921875,5555,1.0806869,2.8312356,0.121334457,13
80,54.52423096,5768,0.96673024,2.615322,0.111671853,13
90,54.09088135,5765,0.8915683,2.6615942,0.113742635,13
100,55.6427002,5716,0.7856342,2.6067715,0.1112892,13
110,56.55517578,5625,0.9887056,2.2045727,0.093289928,13
120,56.72302246,5683,0.8851737,1.4262618,0.058458822,13
130,55.56182861,5600,0.97725326,1.2068093,0.048637845,13
140,54.80499268,5551,1.5816002,1.0806869,0.042993593,13
150,54.45404053,5530,1.7614981,0.96673024,0.037893785,13
160,54.4708252,5569,1.8427029,0.8915683,0.034530124,13
170,54.51507568,5748,2.1284206,0.7856342,0.029789343,13
180,54.11987305,5768,3.0258062,0.9887056,0.03887723,13
0,54.09698486,5776,2.8312356,0.97725326,0.038364713,14
10,55.64727783,5726,2.615322,1.5816002,0.065410553,14
20,56.51855469,5624,2.6615942,1.7614981,0.073461376,14
30,56.63757324,5675,2.6067715,1.8427029,0.077095467,14
40,55.54046631,5594,2.2045727,2.1284206,0.089881956,14
50,54.8614502,5551,1.4262618,3.0258062,0.130041915,14
60,54.4128418,5537,1.2068093,2.8312356,0.121334457,14
70,54.4921875,5555,1.0806869,2.615322,0.111671853,14
80,54.52423096,5768,0.96673024,2.6615942,0.113742635,14
90,54.09088135,5765,0.8915683,2.6067715,0.1112892,14
100,55.6427002,5716,0.7856342,2.2045727,0.093289928,14
110,56.55517578,5625,0.9887056,1.4262618,0.058458822,14
120,56.72302246,5683,0.8851737,1.2068093,0.048637845,14
130,55.56182861,5600,0.97725326,1.0806869,0.042993593,14
140,54.80499268,5551,1.5816002,0.96673024,0.037893785,14
150,54.45404053,5530,1.7614981,0.8915683,0.034530124,14
160,54.4708252,5569,1.8427029,0.7856342,0.029789343,14
170,54.51507568,5748,2.1284206,0.9887056,0.03887723,14
180,54.11987305,5768,3.0258062,0.8851737,0.034243952,14
0,54.09698486,5776,2.8312356,1.5816002,0.065410553,15
10,55.64727783,5726,2.615322,1.7614981,0.073461376,15
20,56.51855469,5624,2.6615942,1.8427029,0.077095467,15
30,56.63757324,5675,2.6067715,2.1284206,0.089881956,15
40,55.54046631,5594,2.2045727,3.0258062,0.130041915,15
50,54.8614502,5551,1.4262618,2.8312356,0.121334457,15
60,54.4128418,5537,1.2068093,2.615322,0.111671853,15
70,54.4921875,5555,1.0806869,2.6615942,0.113742635,15
80,54.52423096,5768,0.96673024,2.6067715,0.1112892,15
90,54.09088135,5765,0.8915683,2.2045727,0.093289928,15
100,55.6427002,5716,0.7856342,1.4262618,0.058458822,15
